psr,array,logE,loud,logE_chrom,DM,d,gold,b,EM,ne,s_path,hii
B1855+09,NG,-11.85139075878942,True,,13.29843,1.1235955056179776,True,3.0604160265370965,28.81339963146207,2.16667679052806,168.9911379808602,0.0
J0023+0923,NG,-17.523071425866902,False,,14.326553,1.8181818181818181,True,-52.8492564247885,2.435824640973975,0.1700216821850989,218.51753384410944,0.0
J0340+4130,NG,-17.98692596459075,False,,49.57583,1.603,False,-11.02185831032078,16.19888344417719,0.3267496165808457,723.7752075703311,0.0
J0437-4715,NG,-17.747777669342707,False,,2.64539,0.15552099533437014,True,-41.96330210387989,1.4526728686661152,0.5491337264698647,37.247642806708676,0.0
J0509+0856,NG,-15.57886828667621,False,,38.32843,0.817,False,-17.930657579717387,37.592191391640526,0.9807913183931752,517.4411179260414,0.0
J0605+3757,NG,-16.416879071019324,False,,20.9462,0.215,False,8.021645045010823,4.154333765308687,0.1983335290080629,316.2583038346887,0.0
J0610-2100,NG,-9.784165359817257,True,,60.6722,1.3888888888888888,True,-18.183571477170258,26.424277721037523,0.43552529364416526,868.3403829599234,0.0
J0613-0200,NG,-13.700804136172758,False,,38.78188,1.0,True,-9.304906562761166,33.46110708381772,0.8628026048200274,528.5335995994972,0.0
J0636+5128,NG,-17.79425024696029,False,,11.10857,0.7142857142857143,True,18.642586894542195,3.1506275942618487,0.2836213476857821,163.7504355333797,0.0
J0709+0458,NG,-14.52884667059575,False,,44.2664,1.203,False,6.200236299950751,9.75979904397747,0.22047871622669724,663.6750395964789,0.0
J1012+5307,NG,-12.361729686774165,True,,9.02113,0.8547008547008548,True,50.85783598275311,0.6538808680562687,0.07248325520819107,145.2870572059528,0.0
J1012-4235,NG,-16.002173480113964,False,,71.65084,0.372,False,11.224651363819016,41.90466298186826,0.5848453832762919,1004.3443693839689,1.0
J1024-0719,NG,-17.90028867932645,False,,6.48699,0.9900990099009901,True,40.51549675637739,2.335101127923716,0.35996681479757425,94.07782328727902,0.0
J1312+0051,NG,-16.999219106676055,False,,15.345,1.465,False,63.227234233166236,2.9698469313788247,0.19353841195039587,232.06357829203012,0.0
J1455-3330,NG,-17.76750973796399,False,,13.5697,0.7692307692307692,True,22.562257327563024,5.103764652561017,0.3761147742810097,196.19962652715492,0.0
J1600-3053,NG,-17.75540474224553,False,,52.3282,1.3888888888888888,True,16.45138128823463,20.54837330687502,0.39268259383802656,754.3397245726086,0.0
J1630+3734,NG,-16.258684429902992,False,,14.18009,1.182,False,43.214578738680935,1.0562094661185055,0.07448538522100392,227.98674363394164,0.0
J1640+2224,NG,-18.58843444972572,False,,18.42912,1.36986301369863,True,38.27118754861173,2.179790975966241,0.11827971036958035,287.779891361122,0.0
J1705-1903,NG,-10.776231104823028,True,,57.50473,2.344,False,13.0420683092642,9.770611996728881,0.16990970997914226,877.1359396079457,0.0
J1713+0747,NG,-16.80149266418903,False,,15.9871,1.1363636363636365,True,25.22283886532782,4.448362140310515,0.27824697038928353,235.97025799331797,0.0
J1719-1438,NG,-17.244904501207053,False,,36.7752,0.336,False,12.83834273922614,12.834478249545054,0.3489981903441736,534.4717724505344,0.0
J1738+0333,NG,-15.640234436251633,False,,33.77312,1.6949152542372883,True,17.742235387957596,9.15651029768476,0.271118282755184,499.36919414657876,0.0
J1744-1134,NG,-17.263452872652653,False,,3.138334,0.38759689922480617,True,9.179716700109267,14.11919112560866,4.4989447030203475,37.587676845925614,0.0
J1745+1017,NG,-9.000169572451094,True,,23.97061,1.214,False,19.253687280798445,6.075298266496529,0.25344779571719406,356.04488220318115,0.0
J1751-2857,NG,-17.1971923779826,False,,42.789,1.088,False,-1.1242756420299602,56.17612579825698,1.312863721943887,565.1821192787905,1.0
J1802-2124,NG,-10.6214345097912,True,,149.5902,3.025,False,0.6109383286890268,107.43313903009786,0.7181830028310535,2066.113827887566,1.0
